Name,Location,Year,Kilometers_Driven,Owner_Type,Mileage,Engine,Power,Seats,Price,Fuel_Type_Diesel,Fuel_Type_Electric,Fuel_Type_Petrol,Transmission_Automatic,Transmission_Manual,Car_Age,Price_Per_Year
Hyundai Creta 1.6 CRDi SX Option,Pune,2015,41000,First,19.67,1582.0,126.2,5.0,12.5,True,False,False,False,True,11,1.14
Honda Jazz V,Chennai,2011,46000,First,13.0,1199.0,88.7,5.0,4.5,False,False,True,False,True,15,0.3
Maruti Ertiga VDI,Chennai,2012,87000,First,20.77,1248.0,88.76,7.0,6.0,True,False,False,False,True,14,0.43
Audi A4 New 2.0 TDI Multitronic,Coimbatore,2013,40670,Second,15.2,1968.0,140.8,5.0,17.74,True,False,False,True,False,13,1.36
Nissan Micra Diesel XV,Jaipur,2013,86999,First,23.08,1461.0,63.1,5.0,3.5,True,False,False,False,True,13,0.27
Toyota Innova Crysta 2.8 GX AT 8S,Mumbai,2016,36000,First,11.36,2755.0,171.5,8.0,17.5,True,False,False,True,False,10,1.75
Volkswagen Vento Diesel Comfortline,Pune,2013,64430,First,20.54,1598.0,103.6,5.0,5.2,True,False,False,False,True,13,0.4
Tata Indica Vista Quadrajet LS,Chennai,2012,65932,Second,22.3,1248.0,74.0,5.0,1.95,True,False,False,False,True,14,0.14
Maruti Ciaz Zeta,Kochi,2018,25692,First,21.56,1462.0,103.25,5.0,9.95,False,False,True,False,True,8,1.24
Honda City 1.5 V AT Sunroof,Kolkata,2012,60000,First,16.8,1497.0,116.3,5.0,4.49,False,False,True,True,False,14,0.32
Maruti Swift VDI BSIV,Jaipur,2015,64424,First,25.2,1248.0,74.0,5.0,5.6,True,False,False,False,True,11,0.51
Land Rover Range Rover 2.2L Pure,Delhi,2014,72000,First,12.7,2179.0,187.7,5.0,27.0,True,False,False,True,False,12,2.25
Land Rover Freelander 2 TD4 SE,Pune,2012,85000,Second,0.0,2179.0,115.0,5.0,17.5,True,False,False,True,False,14,1.25
Mitsubishi Pajero Sport 4X4,Delhi,2014,110000,First,13.5,2477.0,175.56,7.0,15.0,True,False,False,False,True,12,1.25
Honda Amaze S i-Dtech,Kochi,2016,58950,First,25.8,1498.0,98.6,5.0,5.4,True,False,False,False,True,10,0.54
Maruti Swift DDiS VDI,Jaipur,2017,25000,First,28.4,1248.0,74.0,5.0,5.99,True,False,False,False,True,9,0.67
Renault Duster 85PS Diesel RxL Plus,Kochi,2014,77469,First,20.45,1461.0,83.8,5.0,6.34,True,False,False,False,True,12,0.53
Mercedes-Benz New C-Class C 220 CDI BE Avantgare,Bangalore,2014,78500,First,14.84,2143.0,167.62,5.0,28.0,True,False,False,True,False,12,2.33
BMW 3 Series 320d,Kochi,2014,32982,First,22.69,1995.0,190.0,5.0,18.55,True,False,False,True,False,12,1.55
Maruti S Cross DDiS 200 Alpha,Bangalore,2015,55392,Second,23.65,1248.0,88.5,5.0,8.25,True,False,False,False,True,11,0.75
Audi A6 2011-2015 35 TFSI Technology,Mumbai,2015,55985,First,13.53,1984.0,177.01,5.0,23.5,False,False,True,True,False,11,2.14
Hyundai i20 1.2 Magna,Kolkata,2010,45807,First,18.5,1197.0,80.0,5.0,1.87,False,False,True,False,True,16,0.12
Volkswagen Vento Petrol Highline AT,Kolkata,2010,33000,First,14.4,1598.0,103.6,5.0,2.85,False,False,True,True,False,16,0.18
Honda City Corporate Edition,Mumbai,2012,51920,First,16.8,1497.0,116.3,5.0,4.25,False,False,True,False,True,14,0.3
Nissan Micra Diesel XV,Hyderabad,2012,54000,First,16.48,1461.0,63.1,5.0,4.25,True,False,False,False,True,14,0.3
Maruti Alto K10 2010-2014 VXI,Hyderabad,2013,54000,Second,20.92,998.0,67.1,5.0,2.75,False,False,True,False,True,13,0.21
Honda WRV i-VTEC VX,Kochi,2018,37430,First,17.5,1199.0,88.7,5.0,9.9,False,False,True,False,True,8,1.24
Toyota Innova 2.5 V Diesel 7-seater,Mumbai,2007,262000,Fourth & Above,12.8,2494.0,102.0,7.0,4.0,True,False,False,False,True,19,0.21
Renault Duster 110PS Diesel RxZ Pack,Bangalore,2013,62000,First,19.01,1461.0,108.45,5.0,7.75,True,False,False,False,True,13,0.6
Toyota Corolla Altis G,Delhi,2012,87615,First,14.53,1798.0,138.1,5.0,6.75,False,False,True,False,True,14,0.48
